Time,tmmx
"Oct 1, 2010",366
"Nov 1, 2010",335
"Dec 1, 2010",288
"Jan 1, 2011",277
"Feb 1, 2011",314
"Mar 1, 2011",366
"Apr 1, 2011",403
"May 1, 2011",411
"Jun 1, 2011",384
"Jul 1, 2011",333
"Aug 1, 2011",320
"Sep 1, 2011",328
"Oct 1, 2011",361
"Nov 1, 2011",350
"Dec 1, 2011",306
"Jan 1, 2012",274
"Feb 1, 2012",299
"Mar 1, 2012",353
"Apr 1, 2012",399
"May 1, 2012",410
"Jun 1, 2012",382
"Jul 1, 2012",342
"Aug 1, 2012",323
"Sep 1, 2012",329
"Oct 1, 2012",356
"Nov 1, 2012",324
"Dec 1, 2012",308
"Jan 1, 2013",279
"Feb 1, 2013",316
"Mar 1, 2013",365
"Apr 1, 2013",389
"May 1, 2013",418
"Jun 1, 2013",368
"Jul 1, 2013",325
"Aug 1, 2013",318
"Sep 1, 2013",340
"Oct 1, 2013",348
"Nov 1, 2013",324
"Dec 1, 2013",293
"Jan 1, 2014",351
"Feb 1, 2014",302
"Mar 1, 2014",356
"Apr 1, 2014",398
"May 1, 2014",413
"Jun 1, 2014",399
"Jul 1, 2014",346
"Aug 1, 2014",329
"Sep 1, 2014",333
"Oct 1, 2014",367
"Nov 1, 2014",352
"Dec 1, 2014",297
"Jan 1, 2015",280
"Feb 1, 2015",322
"Mar 1, 2015",359
"Apr 1, 2015",398
"May 1, 2015",426
"Jun 1, 2015",376
"Jul 1, 2015",342
"Aug 1, 2015",331
"Sep 1, 2015",339
"Oct 1, 2015",369
"Nov 1, 2015",346
"Dec 1, 2015",295
"Jan 1, 2016",293
"Feb 1, 2016",316
"Mar 1, 2016",374
"Apr 1, 2016",401
"May 1, 2016",425
"Jun 1, 2016",397
"Jul 1, 2016",335
"Aug 1, 2016",320
"Sep 1, 2016",339
"Oct 1, 2016",345
"Nov 1, 2016",322
"Dec 1, 2016",306
"Jan 1, 2017",288
"Feb 1, 2017",324
"Mar 1, 2017",367
"Apr 1, 2017",402
"May 1, 2017",423
"Jun 1, 2017",380
"Jul 1, 2017",325
"Aug 1, 2017",327
"Sep 1, 2017",342
"Oct 1, 2017",368
"Nov 1, 2017",328
"Dec 1, 2017",299
"Jan 1, 2018",297
"Feb 1, 2018",329
"Mar 1, 2018",381
"Apr 1, 2018",406
"May 1, 2018",429
"Jun 1, 2018",397
"Jul 1, 2018",327
"Aug 1, 2018",328
"Sep 1, 2018",334
"Oct 1, 2018",372
"Nov 1, 2018",346
"Dec 1, 2018",293
"Jan 1, 2019",275
"Feb 1, 2019",304
"Mar 1, 2019",360
"Apr 1, 2019",413
"May 1, 2019",418
"Jun 1, 2019",393
"Jul 1, 2019",355
"Aug 1, 2019",326
"Sep 1, 2019",332
"Oct 1, 2019",354
"Nov 1, 2019",343
"Dec 1, 2019",296