Time,tmmn
"Oct 1, 2010",226
"Nov 1, 2010",168
"Dec 1, 2010",118
"Jan 1, 2011",111
"Feb 1, 2011",151
"Mar 1, 2011",196
"Apr 1, 2011",240
"May 1, 2011",269
"Jun 1, 2011",281
"Jul 1, 2011",260
"Aug 1, 2011",249
"Sep 1, 2011",240
"Oct 1, 2011",220
"Nov 1, 2011",184
"Dec 1, 2011",136
"Jan 1, 2012",108
"Feb 1, 2012",137
"Mar 1, 2012",183
"Apr 1, 2012",235
"May 1, 2012",268
"Jun 1, 2012",278
"Jul 1, 2012",268
"Aug 1, 2012",252
"Sep 1, 2012",242
"Oct 1, 2012",216
"Nov 1, 2012",157
"Dec 1, 2012",137
"Jan 1, 2013",113
"Feb 1, 2013",154
"Mar 1, 2013",195
"Apr 1, 2013",225
"May 1, 2013",276
"Jun 1, 2013",265
"Jul 1, 2013",251
"Aug 1, 2013",247
"Sep 1, 2013",252
"Oct 1, 2013",208
"Nov 1, 2013",157
"Dec 1, 2013",123
"Jan 1, 2014",184
"Feb 1, 2014",140
"Mar 1, 2014",186
"Apr 1, 2014",234
"May 1, 2014",271
"Jun 1, 2014",296
"Jul 1, 2014",272
"Aug 1, 2014",258
"Sep 1, 2014",245
"Oct 1, 2014",227
"Nov 1, 2014",186
"Dec 1, 2014",127
"Jan 1, 2015",114
"Feb 1, 2015",160
"Mar 1, 2015",189
"Apr 1, 2015",234
"May 1, 2015",285
"Jun 1, 2015",273
"Jul 1, 2015",268
"Aug 1, 2015",260
"Sep 1, 2015",252
"Oct 1, 2015",229
"Nov 1, 2015",179
"Dec 1, 2015",124
"Jan 1, 2016",127
"Feb 1, 2016",153
"Mar 1, 2016",204
"Apr 1, 2016",238
"May 1, 2016",284
"Jun 1, 2016",294
"Jul 1, 2016",261
"Aug 1, 2016",249
"Sep 1, 2016",252
"Oct 1, 2016",205
"Nov 1, 2016",156
"Dec 1, 2016",136
"Jan 1, 2017",122
"Feb 1, 2017",162
"Mar 1, 2017",197
"Apr 1, 2017",239
"May 1, 2017",282
"Jun 1, 2017",276
"Jul 1, 2017",251
"Aug 1, 2017",256
"Sep 1, 2017",254
"Oct 1, 2017",228
"Nov 1, 2017",162
"Dec 1, 2017",128
"Jan 1, 2018",129
"Feb 1, 2018",166
"Mar 1, 2018",208
"Apr 1, 2018",247
"May 1, 2018",283
"Jun 1, 2018",288
"Jul 1, 2018",261
"Aug 1, 2018",252
"Sep 1, 2018",247
"Oct 1, 2018",239
"Nov 1, 2018",184
"Dec 1, 2018",125
"Jan 1, 2019",109
"Feb 1, 2019",142
"Mar 1, 2019",190
"Apr 1, 2019",250
"May 1, 2019",276
"Jun 1, 2019",289
"Jul 1, 2019",282
"Aug 1, 2019",255
"Sep 1, 2019",245
"Oct 1, 2019",214
"Nov 1, 2019",176
"Dec 1, 2019",125